Level_0,Index,States(US),Date,Humidity level,Sun rise,TemperatureC,Windspeed in Kmph,Year
12477,12477,Alabama,2020-01-22,48,10,6,11.0,2019
12478,12478,Alaska,2020-01-22,48,10,6,11.0,2019
12479,12479,Arizona,2020-01-22,48,10,6,11.0,2019
12480,12480,Arkansas,2020-01-22,48,10,6,11.0,2019
12481,12481,California,2020-01-22,48,10,6,11.0,2019
12482,12482,Colorado,2020-01-22,48,10,6,11.0,2019
12483,12483,Connecticut,2020-01-22,48,10,6,11.0,2019
12484,12484,Delaware,2020-01-22,48,10,6,11.0,2019
12485,12485,Diamond Princess,2020-01-22,48,10,6,11.0,2019
12486,12486,District of Columbia,2020-01-22,48,10,6,11.0,2019
12487,12487,Florida,2020-01-22,48,10,6,11.0,2019
12488,12488,Georgia,2020-01-22,48,10,6,11.0,2019
12489,12489,Grand Princess,2020-01-22,48,10,6,11.0,2019
12490,12490,Guam,2020-01-22,48,10,6,11.0,2019
12491,12491,Hawaii,2020-01-22,48,10,6,11.0,2019
12492,12492,Idaho,2020-01-22,48,10,6,11.0,2019
12493,12493,Illinois,2020-01-22,48,10,6,11.0,2019
12494,12494,Indiana,2020-01-22,48,10,6,11.0,2019
12495,12495,Iowa,2020-01-22,48,10,6,11.0,2019
12496,12496,Kansas,2020-01-22,48,10,6,11.0,2019
12497,12497,Kentucky,2020-01-22,48,10,6,11.0,2019
12498,12498,Louisiana,2020-01-22,48,10,6,11.0,2019
12499,12499,Maine,2020-01-22,48,10,6,11.0,2019
12500,12500,Maryland,2020-01-22,48,10,6,11.0,2019
12501,12501,Massachusetts,2020-01-22,48,10,6,11.0,2019
12502,12502,Michigan,2020-01-22,48,10,6,11.0,2019
12503,12503,Minnesota,2020-01-22,48,10,6,11.0,2019
12504,12504,Mississippi,2020-01-22,48,10,6,11.0,2019
12505,12505,Missouri,2020-01-22,48,10,6,11.0,2019
12506,12506,Montana,2020-01-22,48,10,6,11.0,2019
12507,12507,Nebraska,2020-01-22,48,10,6,11.0,2019
12508,12508,Nevada,2020-01-22,48,10,6,11.0,2019
12509,12509,New Hampshire,2020-01-22,48,10,6,11.0,2019
12510,12510,New Jersey,2020-01-22,48,10,6,11.0,2019
12511,12511,New Mexico,2020-01-22,48,10,6,11.0,2019
12512,12512,New York,2020-01-22,48,10,6,11.0,2019
12513,12513,North Carolina,2020-01-22,48,10,6,11.0,2019
12514,12514,North Dakota,2020-01-22,48,10,6,11.0,2019
12515,12515,Ohio,2020-01-22,48,10,6,11.0,2019
12516,12516,Oklahoma,2020-01-22,48,10,6,11.0,2019
12517,12517,Oregon,2020-01-22,48,10,6,11.0,2019
12518,12518,Pennsylvania,2020-01-22,48,10,6,11.0,2019
12519,12519,Puerto Rico,2020-01-22,48,10,6,11.0,2019
12520,12520,Rhode Island,2020-01-22,48,10,6,11.0,2019
12521,12521,South Carolina,2020-01-22,48,10,6,11.0,2019
12522,12522,South Dakota,2020-01-22,48,10,6,11.0,2019
12523,12523,Tennessee,2020-01-22,48,10,6,11.0,2019
12524,12524,Texas,2020-01-22,48,10,6,11.0,2019
12525,12525,US,2020-01-22,48,10,6,11.0,2019
12526,12526,United States Virgin Islands,2020-01-22,48,10,6,11.0,2019
12527,12527,Utah,2020-01-22,48,10,6,11.0,2019
12528,12528,Vermont,2020-01-22,48,10,6,11.0,2019
12529,12529,Virgin Islands,2020-01-22,48,10,6,11.0,2019
12530,12530,Virginia,2020-01-22,48,10,6,11.0,2019
12531,12531,Washington,2020-01-22,48,10,6,11.0,2019
12532,12532,West Virginia,2020-01-22,48,10,6,11.0,2019
12533,12533,Wisconsin,2020-01-22,48,10,6,11.0,2019
12534,12534,Wyoming,2020-01-22,48,10,6,11.0,2019
12535,12535,Alabama,2020-01-23,64,5,8,8.0,2019
12536,12536,Alaska,2020-01-23,64,5,8,8.0,2019
12537,12537,Arizona,2020-01-23,64,5,8,8.0,2019
12538,12538,Arkansas,2020-01-23,64,5,8,8.0,2019
12539,12539,California,2020-01-23,64,5,8,8.0,2019
12540,12540,Colorado,2020-01-23,64,5,8,8.0,2019
12541,12541,Connecticut,2020-01-23,64,5,8,8.0,2019
12542,12542,Delaware,2020-01-23,64,5,8,8.0,2019
12543,12543,Diamond Princess,2020-01-23,64,5,8,8.0,2019
12544,12544,District of Columbia,2020-01-23,64,5,8,8.0,2019
12545,12545,Florida,2020-01-23,64,5,8,8.0,2019
12546,12546,Georgia,2020-01-23,64,5,8,8.0,2019
12547,12547,Grand Princess,2020-01-23,64,5,8,8.0,2019
12548,12548,Guam,2020-01-23,64,5,8,8.0,2019
12549,12549,Hawaii,2020-01-23,64,5,8,8.0,2019
12550,12550,Idaho,2020-01-23,64,5,8,8.0,2019
12551,12551,Illinois,2020-01-23,64,5,8,8.0,2019
12552,12552,Indiana,2020-01-23,64,5,8,8.0,2019
12553,12553,Iowa,2020-01-23,64,5,8,8.0,2019
12554,12554,Kansas,2020-01-23,64,5,8,8.0,2019
12555,12555,Kentucky,2020-01-23,64,5,8,8.0,2019
12556,12556,Louisiana,2020-01-23,64,5,8,8.0,2019
12557,12557,Maine,2020-01-23,64,5,8,8.0,2019
12558,12558,Maryland,2020-01-23,64,5,8,8.0,2019
12559,12559,Massachusetts,2020-01-23,64,5,8,8.0,2019
12560,12560,Michigan,2020-01-23,64,5,8,8.0,2019
12561,12561,Minnesota,2020-01-23,64,5,8,8.0,2019
12562,12562,Mississippi,2020-01-23,64,5,8,8.0,2019
12563,12563,Missouri,2020-01-23,64,5,8,8.0,2019
12564,12564,Montana,2020-01-23,64,5,8,8.0,2019
12565,12565,Nebraska,2020-01-23,64,5,8,8.0,2019
12566,12566,Nevada,2020-01-23,64,5,8,8.0,2019
12567,12567,New Hampshire,2020-01-23,64,5,8,8.0,2019
12568,12568,New Jersey,2020-01-23,64,5,8,8.0,2019
12569,12569,New Mexico,2020-01-23,64,5,8,8.0,2019
12570,12570,New York,2020-01-23,64,5,8,8.0,2019
12571,12571,North Carolina,2020-01-23,64,5,8,8.0,2019
12572,12572,North Dakota,2020-01-23,64,5,8,8.0,2019
12573,12573,Ohio,2020-01-23,64,5,8,8.0,2019
12574,12574,Oklahoma,2020-01-23,64,5,8,8.0,2019
12575,12575,Oregon,2020-01-23,64,5,8,8.0,2019
12576,12576,Pennsylvania,2020-01-23,64,5,8,8.0,2019
12577,12577,Puerto Rico,2020-01-23,64,5,8,8.0,2019
12578,12578,Rhode Island,2020-01-23,64,5,8,8.0,2019
12579,12579,South Carolina,2020-01-23,64,5,8,8.0,2019
12580,12580,South Dakota,2020-01-23,64,5,8,8.0,2019
12581,12581,Tennessee,2020-01-23,64,5,8,8.0,2019
12582,12582,Texas,2020-01-23,64,5,8,8.0,2019
12583,12583,US,2020-01-23,64,5,8,8.0,2019
12584,12584,United States Virgin Islands,2020-01-23,64,5,8,8.0,2019
12585,12585,Utah,2020-01-23,64,5,8,8.0,2019
12586,12586,Vermont,2020-01-23,64,5,8,8.0,2019
12587,12587,Virgin Islands,2020-01-23,64,5,8,8.0,2019
12588,12588,Virginia,2020-01-23,64,5,8,8.0,2019
12589,12589,Washington,2020-01-23,64,5,8,8.0,2019
12590,12590,West Virginia,2020-01-23,64,5,8,8.0,2019
12591,12591,Wisconsin,2020-01-23,64,5,8,8.0,2019
12592,12592,Wyoming,2020-01-23,64,5,8,8.0,2019
12593,12593,Alabama,2020-01-24,97,5,13,14.0,2019
12594,12594,Alaska,2020-01-24,97,5,13,14.0,2019
12595,12595,Arizona,2020-01-24,97,5,13,14.0,2019
12596,12596,Arkansas,2020-01-24,97,5,13,14.0,2019
12597,12597,California,2020-01-24,97,5,13,14.0,2019
12598,12598,Colorado,2020-01-24,97,5,13,14.0,2019
12599,12599,Connecticut,2020-01-24,97,5,13,14.0,2019
12600,12600,Delaware,2020-01-24,97,5,13,14.0,2019
12601,12601,Diamond Princess,2020-01-24,97,5,13,14.0,2019
12602,12602,District of Columbia,2020-01-24,97,5,13,14.0,2019
12603,12603,Florida,2020-01-24,97,5,13,14.0,2019
12604,12604,Georgia,2020-01-24,97,5,13,14.0,2019
12605,12605,Grand Princess,2020-01-24,97,5,13,14.0,2019
12606,12606,Guam,2020-01-24,97,5,13,14.0,2019
12607,12607,Hawaii,2020-01-24,97,5,13,14.0,2019
12608,12608,Idaho,2020-01-24,97,5,13,14.0,2019
12609,12609,Illinois,2020-01-24,97,5,13,14.0,2019
12610,12610,Indiana,2020-01-24,97,5,13,14.0,2019
12611,12611,Iowa,2020-01-24,97,5,13,14.0,2019
12612,12612,Kansas,2020-01-24,97,5,13,14.0,2019
12613,12613,Kentucky,2020-01-24,97,5,13,14.0,2019
12614,12614,Louisiana,2020-01-24,97,5,13,14.0,2019
12615,12615,Maine,2020-01-24,97,5,13,14.0,2019
12616,12616,Maryland,2020-01-24,97,5,13,14.0,2019
12617,12617,Massachusetts,2020-01-24,97,5,13,14.0,2019
12618,12618,Michigan,2020-01-24,97,5,13,14.0,2019
12619,12619,Minnesota,2020-01-24,97,5,13,14.0,2019
12620,12620,Mississippi,2020-01-24,97,5,13,14.0,2019
12621,12621,Missouri,2020-01-24,97,5,13,14.0,2019
12622,12622,Montana,2020-01-24,97,5,13,14.0,2019
12623,12623,Nebraska,2020-01-24,97,5,13,14.0,2019
12624,12624,Nevada,2020-01-24,97,5,13,14.0,2019
12625,12625,New Hampshire,2020-01-24,97,5,13,14.0,2019
12626,12626,New Jersey,2020-01-24,97,5,13,14.0,2019
12627,12627,New Mexico,2020-01-24,97,5,13,14.0,2019
12628,12628,New York,2020-01-24,97,5,13,14.0,2019
12629,12629,North Carolina,2020-01-24,97,5,13,14.0,2019
12630,12630,North Dakota,2020-01-24,97,5,13,14.0,2019
12631,12631,Ohio,2020-01-24,97,5,13,14.0,2019
12632,12632,Oklahoma,2020-01-24,97,5,13,14.0,2019
12633,12633,Oregon,2020-01-24,97,5,13,14.0,2019
12634,12634,Pennsylvania,2020-01-24,97,5,13,14.0,2019
